City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2020-02-22 17:22:23,-54.8,-68.3,64.4,59,20,6.46
1,Kavieng,PG,2020-02-22 17:26:23,-2.57,150.8,83.25,74,22,5.75
2,Isangel,VU,2020-02-22 17:25:28,-19.55,169.27,78.15,80,42,14.54
3,Codrington,AU,2020-02-22 17:25:42,-38.27,141.97,60.3,76,0,9.37
4,Bluff,NZ,2020-02-22 17:24:58,-46.6,168.33,51.01,77,67,4.0
5,Busselton,AU,2020-02-22 17:26:24,-33.65,115.33,68.0,63,3,9.4
6,Metu,ET,2020-02-22 17:26:24,8.3,35.58,71.4,54,73,4.94
7,Albany,US,2020-02-22 17:21:44,42.6,-73.97,41.0,38,20,16.11
8,Mataura,NZ,2020-02-22 17:26:25,-46.19,168.86,51.01,77,39,4.0
9,Yellowknife,CA,2020-02-22 17:24:27,62.46,-114.35,0.0,77,75,9.17
10,Vaini,TO,2020-02-22 17:26:25,-21.2,-175.2,77.0,94,75,4.7
11,Rikitea,PF,2020-02-22 17:26:25,-23.12,-134.97,77.94,72,10,5.06
12,Hamilton,US,2020-02-22 17:26:26,39.18,-84.53,44.01,33,1,9.17
13,Luganville,VU,2020-02-22 17:26:26,-15.53,167.17,71.15,95,36,0.6
14,Apeldoorn,NL,2020-02-22 17:21:57,52.21,5.97,53.01,87,75,21.92
15,Hasaki,JP,2020-02-22 17:26:26,35.73,140.83,50.0,61,75,10.29
16,Hermanus,ZA,2020-02-22 17:26:27,-34.42,19.23,66.99,99,100,1.99
17,Ostersund,SE,2020-02-22 17:26:27,63.18,14.64,34.0,72,100,17.22
18,Darhan,MN,2020-02-22 17:26:27,49.49,105.92,12.65,82,100,4.85
19,Tiarei,PF,2020-02-22 17:26:27,-17.53,-149.33,80.6,74,20,2.24
20,Butaritari,KI,2020-02-22 17:26:27,3.07,172.79,83.35,70,99,6.51
21,Bambous Virieux,MU,2020-02-22 17:24:53,-20.34,57.76,78.8,83,40,3.36
22,Hilo,US,2020-02-22 17:24:02,19.73,-155.09,68.0,82,75,8.05
23,Fortuna,US,2020-02-22 17:25:07,40.6,-124.16,48.99,100,90,4.5
24,Talcahuano,CL,2020-02-22 17:26:28,-36.72,-73.12,66.2,63,40,11.41
25,Los Llanos De Aridane,ES,2020-02-22 17:26:28,28.66,-17.92,68.0,68,20,11.41
26,Padang,ID,2020-02-22 17:23:59,-0.95,100.35,70.36,85,4,6.55
27,Vila Do Maio,CV,2020-02-22 17:26:29,15.13,-23.22,75.2,60,75,24.16
28,Cabo San Lucas,MX,2020-02-22 17:25:26,22.89,-109.91,82.99,53,5,4.7
29,Punta Arenas,CL,2020-02-22 17:26:29,-53.15,-70.92,71.6,52,100,10.29
30,Sicamous,CA,2020-02-22 17:26:29,50.83,-118.99,37.0,94,90,4.7
31,Cape Town,ZA,2020-02-22 17:26:30,-33.93,18.42,70.0,77,20,17.22
32,Rokupr,SL,2020-02-22 17:26:30,8.67,-12.39,89.78,54,48,7.56
33,Saint-Francois,FR,2020-02-22 17:26:30,46.42,3.91,55.4,54,0,2.24
34,Marawi,PH,2020-02-22 17:26:30,8.0,124.29,75.0,85,14,4.0
35,Gizo,SB,2020-02-22 17:26:30,-8.1,156.84,76.87,85,20,2.33
36,Rio Gallegos,AR,2020-02-22 17:26:31,-51.62,-69.22,77.0,31,66,18.34
37,Sioux Lookout,CA,2020-02-22 17:26:31,50.1,-91.92,32.0,88,20,8.05
38,Chokurdakh,RU,2020-02-22 17:26:31,70.63,147.92,-16.51,97,100,1.14
39,Nome,US,2020-02-22 17:26:31,64.5,-165.41,-25.6,82,1,3.36
40,Ribeira Grande,PT,2020-02-22 17:26:32,38.52,-28.7,60.8,72,75,8.05
41,Hithadhoo,MV,2020-02-22 17:26:32,-0.6,73.08,82.02,80,100,12.08
42,Khatanga,RU,2020-02-22 17:26:32,71.97,102.5,2.52,82,98,13.51
43,Victoria,HK,2020-02-22 17:25:50,22.29,114.16,66.2,77,20,19.46
44,Odienne,CI,2020-02-22 17:26:33,9.51,-7.57,97.52,15,30,6.53
45,Vardo,NO,2020-02-22 17:26:33,70.37,31.11,35.4,79,86,33.87
46,Emerald,AU,2020-02-22 17:26:33,-23.53,148.17,75.2,88,90,10.29
47,Flinders,AU,2020-02-22 17:26:33,-34.58,150.86,70.0,100,90,15.23
48,Pangnirtung,CA,2020-02-22 17:26:33,66.15,-65.71,-32.8,59,20,2.73
49,Atuona,PF,2020-02-22 17:26:34,-9.8,-139.03,81.64,79,36,13.69
50,Hobart,AU,2020-02-22 17:26:34,-42.88,147.33,53.6,81,75,4.7
51,Carnarvon,AU,2020-02-22 17:23:36,-24.87,113.63,77.0,83,40,8.05
52,Tselinnoye,RU,2020-02-22 17:26:34,53.08,85.67,20.25,95,100,5.46
53,Avarua,CK,2020-02-22 17:26:34,-21.21,-159.78,80.6,88,93,8.05
54,Georgetown,MY,2020-02-22 17:22:03,5.41,100.34,80.6,88,20,4.27
